Name,Smiles
A0001,CCCCCCC(C)(C)c1cc(O)c2C3CC(=O)CCC3C(C)(C)Oc2c1
A0002,CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12
A0003,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3
A0004,CC(O)C(C)C1OC1CC2COC(CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(O)C2O
A0005,NC(=O)c1cnccn1
A0006,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
A0007,Nc1nc(O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1
A0008,Cc1ccsc1C(=CCCN2CCCC(C2)C(=O)O)c3sccc3C
A0009,OS(=O)(=O)c1ccc(cc1)[N+]#N
A0010,COc1ccc(OC)c(c1)C(O)CNC(=O)CN
A0011,CC12Cc3cnoc3C=C1CCC4C2CCC5(C)C4CCC5(O)C#C
A0012,CC1OC(CC(N)C1O)OC2CC(O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C
A0013,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
A0014,OC(=O)c1ccc(cc1)n2nc(nc2c3ccccc3O)c4ccccc4O
A0015,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
A0016,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl
A0017,CCC(CC)C(C)C
A0018,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-]
A0019,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
A0020,COc1ccc2cccc(CCNC(=O)C)c2c1
A0021,CCC(O)(C=CCl)C#C
A0022,O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1
A0023,OCC1OC(C(O)C(O)C1O)c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2
A0024,CNC(C)Cc1ccccc1
A0025,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
A0026,COCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)c3CCOc23
A0027,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
A0028,CC12CCC3C(C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)C1CCC2O
A0029,CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C
A0030,CN1C(=O)OC(C)(C)C1=O
A0031,CC(C)CC(CN)CC(=O)O
A0032,CC(=O)OCC1=C(N2C(SC1)C(N)C2=O)C(=O)O
A0033,NNC(=O)c1ccncc1
A0034,Nc1nc(Cl)nc2c1ncn2C3CC(O)C(CO)O3
A0035,CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4
A0036,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
A0037,CC(C=CC(C)C(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC12C
A0038,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1
A0039,CN(CCCl)CCCl
A0040,CCOc1ccccc1OCCNC(C)Cc2ccc(OC)c(c2)S(=O)(=O)N
A0041,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
A0042,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
A0043,Cc1ccccc1C(=O)Nc2ccc(C(=O)N3CCCC(O)c4cc(Cl)ccc34)c(C)c2
A0044,CNc1cc2NC(=O)N(C(=O)c2cc1F)c3ccc(NC(=O)NS(=O)(=O)c4ccc(Cl)s4)cc3
A0045,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
A0046,[O-][N+](=O)c1oc(C=NN2CCOC2=O)cc1
A0047,Nc1ccncc1
A0048,Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1
A0049,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C3OCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C
A0050,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
A0051,CC(C)(S)C(=O)NC(CS)C(=O)O
A0052,C[n+]1ccc(cc1)c2cc[n+](C)cc2
A0053,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1
A0054,CCC(CN)CC(C)CNCC(O)CNCC(C)CC(CC)CN
A0055,NCCNCCN
A0056,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)COP(=O)(O)O
A0057,OC1(O)C(=O)c2ccccc2C1=O
A0058,NCC(O)c1ccc(O)c(O)c1
A0059,CC(=O)SC1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC45CCC(=O)O5)C13
A0060,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
